time	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)	Temperature	H2 flow	N2 flow	Acid flow
time	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	asd	asd	asd	asd
864	43107	30503	33840	3357794	9317468	92002	350	28	109	7
868	43999	34605	34048	3387558	10497622	106611	350	28	109	7
872	41670	30786	32704	3302942	9330463	99903	350	28	109	7
876	42191	32633	33318	3360048	9954716	103849	350	28	109	7
880	42008	31876	33384	3298745	9686614	130503	350	28	109	7
884	43237	32965	33518	3376630	9960922	100279	350	28	109	7
888	41644	31271	33691	3251587	9335984	136308	350	28	109	7
892	44832	37983	37886	3334574	10395531	106693	350	28	109	7
896	94889	33448	33653	3263124	9506843	91482	350	28	109	7
900	41605	33693	32498	3278141	10319016	108361	350	28	109	7
904	41418	31853	33118	3237805	9119044	125837	350	28	109	7
908	41547	35171	32574	3312331	10755207	113258	350	28	109	7
912	41185	32714	32703	3196608	9652287	112832	350	28	109	7
916	41794	34673	33064	3303014	10580214	111762	350	28	109	7
920	41333	32847	31562	3250917	9973009	110891	350	28	109	7
924	41297	34333	32258	3237116	10137666	105068	350	28	109	7
928	41561	32435	32066	3177851	9693454	103088	350	28	109	7
932	41149	34603	32367	3215323	10088305	136526	350	28	109	7
936	44185	37624	35792	3244991	10179956	108352	350	28	109	7
940	40921	31800	32838	3093027	8923100	89258	350	28	109	7
944	41154	34451	32848	3168230	10223217	110193	350	28	109	7
948	42084	33339	33523	3087207	8766310	111685	350	28	109	7
952	41277	35270	32520	3162493	10217934	112680	350	28	109	7
956	40528	32796	32082	3071281	8890629	92033	350	28	109	7
960	41347	34782	32641	3142142	9777907	104211	350	28	109	7
964	42859	33143	31578	3053956	9197223	99104	350	28	109	7
968	41170	34881	32600	3102473	9798539	106274	350	28	109	7
972	41872	34235	32448	3121659	9407514	105011	350	28	109	7
976	41595	36193	32765	3136406	10141546	111068	350	28	109	7
980	41211	34379	31780	3070969	9620294	103332	350	28	109	7
984	41115	35537	32125	3072103	9990049	146143	350	28	109	7
988	42646	38060	38753	3026818	9545069	104997	350	28	109	7
992	42099	36975	33179	3049588	9966866	109816	350	28	109	7
996	41070	35481	32313	3029064	9676650	108435	350	28	109	7
										
										
										
										
