	ketene (A)	ethanol (A)	Acetaldehyde (A)	acetone (A)	Acetic acid (A)	acetic anhydride (A)				
Injection date	Peak area	Peak area	Peak area	Peak area	Peak area	Peak area	T	H2	N2	AA
560	12132.917	14913.383	17619.59	1340401.28	9572980.641	74153.603	330	28	109	7
564	12238.282	15876.563	17624.305	1416817.403	9915476.181	88039.262	330	28	109	7
568	18978.358	18174.872	22967.259	1422121.892	10151949.04	80976.163	330	28	109	7
572	12092.432	15807.671	16827.326	1394691.582	9941130.111	79460.426	330	28	109	7
576	12077.585	15752.535	16861.57	1408443.207	9946741.801	77968.38	330	28	109	7
580	11900.202	15274.124	16834.773	1391173.059	9503108.785	72831.182	330	28	109	7
584	11848.064	15117.07	16935.83	1385724.861	9138958.316	70543.858	330	28	109	7
588	14164.491	16906.697	20952.309	1369484.317	8978522.636	69486.199	330	28	109	7
592	11878.609	15490.338	16503.103	1413067.207	9508645.85	73355.494	330	28	109	7
596	12673.854	17650.256	18410.389	1446589.214	10708892.85	85830.355	330	28	109	7
600	12129.798	15711.941	17795.236	1365472.964	9390494.75	73653.579	330	28	109	7
604	12307.803	16885.997	17093.655	1385152.485	10226224.92	84132.115	330	28	109	7
608	12192.668	16529.91	17627.709	1383927.353	9734879.866	75111.346	330	28	109	7
612	12610.723	17118.026	17299.591	1396539.856	9891705.759	79640.051	330	28	109	7
616	12006.5	15927.594	18132.441	1371169.143	8967050.615	66527.825	330	28	109	7
620	14078.928	19536.487	23178.071	1403006.248	10159648.55	79763.41	330	28	109	7
624	13079.08	17604.045	19190.647	1373070.925	9238754.396	69726.827	330	28	109	7
628	12289.628	17587.286	18171.05	1410404.977	9798541.085	75454.6	330	28	109	7
632	14173.277	20235.684	20102.952	1387652.77	10079233.77	131137.7	330	28	109	7
636	12281.966	18302.676	17315.5	1386330.455	10495802.67	85707.34	330	28	109	7
640	15561.735	19612.543	21980.899	1398104.232	10035495.4	77344.689	330	28	109	7
644	14227.419	17258.664	17266.224	1372338.731	9366540.486	71104.817	330	28	109	7
648	12142.55	17407.063	17391.13	1395416.951	9762711.661	75228.602	330	28	109	7
652	12385.329	19022.564	16927.459	1400347.865	11269046.93	96330.82	330	28	109	7
656	11930.329	16062.969	16949.975	1340945.415	8784711.839	74613.778	330	28	109	7
660	12104.007	17218.423	16937.836	1356808.382	9562726.148	81690.177	330	28	109	7
664	11842.621	16589.128	16141.212	1364724.241	9416803.075	73114.196	330	28	109	7
668	18165.803	17215.556	22127.269	2116274.208	9051408.381	59407.413	340	28	109	7
672	16616.569	19149.432	20443.297	1781914.35	9044035.695	63979.268	340	28	109	7
676	17819.583	16667.426	22968.551	1973890.017	8100964.797	62622.624	340	28	109	7
680	19322.255	21686.711	28349.372	1999981.717	9328456.457	65315.156	340	28	109	7
684	24946.489	16727.288	23198.533	1954593.207	7793861.395	48955.192	340	28	109	7
688	16127.012	15644.726	19278.702	1952314.15	8567001.14	61031.931	340	28	109	7
692	16649.67	18542.538	21216.331	2024983.856	9881429.623	68464.139	340	28	109	7
696	16126.275	16416.084	19029.041	1978177.943	8831999.888	60771.675	340	28	109	7
700	15844.574	15425.651	18615.381	1954869.451	8546081.88	57455.708	340	28	109	7
704	15878.898	16216.35	18767.783	1976777.972	8.614	91839.992	340	28	109	7
708	18015.488	19735.815	24904.304	1988346.999	8476488.529	55041.615	340	28	109	7
712	16149.75	17844.85	18387.5	2046951.788	9664807.014	69910.219	340	28	109	7
716	15333.045	14674.243	18869.075	1908740.72	7425929.166	49351.532	340	28	109	7
720	15747.703	16088.007	18511.457	1963341.882	8347671.882	57700.298	340	28	109	7
724	15065.803	13195.589	18813.358	1848202.725	6514223.972	41689.084	340	28	109	7
728	16665.318	17916.636	19974.241	1973175.63	8884562.756	61809.437	340	28	109	7
732	14901.85	13104.743	18677.957	1870779.373	6103085.661	35524.062	340	28	109	7
736	40061.235	20561.271	23263.156	1939754.018	8636168.834	65568.868	340	28	109	7
740	15160.544	15109.498	18019.392	1884302.855	7683973.703	56620.664	340	28	109	7
744	15913.029	17449.85	17623.016	1971580.848	9516475.626	74572.7	340	28	109	7
748	14917.002	12960.996	18155.321	1799221.3	6302957.473	43511.61	340	28	109	7
752	15625.871	18372.78	17505.081	1975091.987	9743787.197	74896.116	340	28	109	7
756	14994.247	13248.697	18802.651	1733995.017	6290635.014	53035.082	340	28	109	7
760	16495.841	18198.35	19621.579	1925930.764	8839365.711	65399.592	340	28	109	7
764	16289.627	15884.753	19650.114	1797816.304	7049167.041	66002.448	340	28	109	7
768	15267.881	17864.474	17337.763	1921607.148	9309044.058	71636.487	340	28	109	7
772	16866.909	18158.097	20734.182	1826766.834	8046273.698	79425.561	340	28	109	7
776	15510.214	17706.114	17471.671	1918777.985	9068040.712	67695.142	340	28	109	7
