T							T	H2	N2	AA							
860	49266.915	19270.829	30463.623	4177231.699	6899558.14	19678.607	350	28	109	7							
864	47491.662	17651.892	28681.804	4181024.458	6857024.592	29296.147	350	28	109	7							
868	48504.192	17908.308	29609.318	4177015.878	7168811.634	18218.73	350	28	109	7							
872	48301.252	18001.803	29042.949	4220892.427	6960761.986	14603.438	350	28	109	7							
876	49341.483	19678.964	30294.861	4237429.676	7295996.809	17148.508	350	28	109	7							
880	48965.89	18396.838	30047.935	4111744.258	6733787.895	18962.647	350	28	109	7							
884	50130.406	19254.114	28083.5	4309005.749	8597130.626	23855.297	350	28	109	7							
888	48937.992	19186.272	30529.755	4122909.302	6585313.947	15667.894	350	28	109	7							
892	50276.073	19453.408	28459.431	4295237.971	8411745.752	23786.283	350	28	109	7							
896	49641.394	18434.286	28337.361	4254195.034	7701371.418	27345.098	350	28	109	7							
900	49406.127	19315.169	28485.438	4203720.473	7870964.909	20787.355	350	28	109	7							
904	49232.667	18114.678	27899.254	4228962.168	7059296.496	18953.169	350	28	109	7							
908	50747.342	20185.675	28672.747	4286265.407	8403668.821	36838.078	350	28	109	7							
912	48444.013	17636.387	27654.41	4184541.04	6831479.534	15849.804	350	28	109	7							
916	50589.983	19868.428	28485.361	4250433.638	8344770.429	45894.476	350	28	109	7							
920	49042.614	18932.037	28810.103	4125306.819	6976155.726	17585.041	350	28	109	7							
924	49806.969	19341.081	28271.55	4173567.434	7669225.88	18985.466	350	28	109	7							
928	48940.34	18662.07	27942.275	4110507.247	7164678.949	17255.6	350	28	109	7							
932	53140.497	21760.415	31018.09	4246203.917	8813728.159	29910.895	350	28	109	7							
936	49506.388	18984.425	28150.773	4140428.643	6982742.773	17220.758	350	28	109	7							
940	57686.174	22144.968	29419.417	4295088.579	9048602.324	29221.131	350	28	109	7							
944	49925.374	19058.167	28280.231	4132503.655	7260451.883	18593.278	350	28	109	7							
948	53010.92	22044.102	30059.25	4236120.727	9021538.52	27723.443	350	28	109	7							
952	49685.354	19081.787	28258.595	4095247.41	7179116.367	17246.739	350	28	109	7							
956	55905.366	23250.234	28683.759	4454703.302	10333439.01	36501.331	350	28	109	7							
960	51797.016	20420.614	28491.893	4211814.591	7933589.291	21459.242	350	28	109	7							
964	53080.774	20825.038	28268.669	4289226.641	8491465.466	25699.72	350	28	109	7							
968	50994.632	20197.832	28194.504	4136229.942	7723261.148	16761.329	350	28	109	7							
972	56237.483	24089.659	29702.585	4450208.153	10059004.1	28263.41	350	28	109	7							
976	51740.945	20466.982	29264.699	4064029.456	7161482.404	16345.546	350	28	109	7							
980	55945.035	23830.431	29327.607	4376606.397	10254455.77	29769.628	350	28	109	7							
